"UMAP1","UMAP2","Cluster","pathways","Level1","Level2","Level3","Mean_Dark","Mean_IR","Mean_All","Mean_Initial","log_Mean_Dark","log_Mean_All","log_Mean_IR","log_Mean_Initial"
-46.9062472092747,21.8488924258389,"Cluster 5","Biosynthesis of nucleotide sugars","Metabolism","Global and overview maps","Biosynthesis of nucleotide sugars",740278,714385.333333333,726000.857142857,718016,5.86939542962875,5.86093773164481,5.85393313762924,5.856134726859
-47.6033032996687,23.7876432217017,"Cluster 5","Pyruvate metabolism","Metabolism","Carbohydrate metabolism","Pyruvate metabolism",650449.333333333,645272.666666667,647652.285714286,646400,5.81321414058591,5.81134257315678,5.80974394210277,5.81050201963247
-49.3194297591532,24.3514770476602,"Cluster 5","Oxidative phosphorylation","Metabolism","Energy metabolism","Oxidative phosphorylation",637982.666666667,621300,634385.714285714,662852,5.80480956027706,5.80235407914432,5.79330205262186,5.82141722619163
-50.4741647671374,25.549070763736,"Cluster 5","Amino sugar and nucleotide sugar metabolism","Metabolism","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",623846,603262.666666667,613456,612866,5.79507809095932,5.78778412644819,5.78050716943816,5.7873662372703
-48.5053090106377,25.9477025236184,"Cluster 5","2-Oxocarboxylic acid metabolism","Metabolism","Global and overview maps","2-Oxocarboxylic acid metabolism",621687.333333333,620944.666666667,616233.428571429,585738,5.79357271743009,5.78974595837706,5.79305360066098,5.7677041414275
-49.442248383985,27.9779162145995,"Cluster 5","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",582226,576742,578723.142857143,574158,5.76509234139671,5.76247160037102,5.76098233214012,5.75903217682385
-49.3566814154531,29.941578626618,"Cluster 5","Cysteine and methionine metabolism","Metabolism","Amino acid metabolism","Cysteine and methionine metabolism",583768.666666667,591439.333333333,577395.142857143,516142,5.7662415248049,5.76147387836449,5.77191093795611,5.71277004175704
-48.0787028031219,30.078917977692,"Cluster 5","Glycine, serine and threonine metabolism","Metabolism","Amino acid metabolism","Glycine, serine and threonine metabolism",589504,586254,574262,492560,5.77048749299888,5.75911083541144,5.76808655971145,5.69246002229132
-49.419609282466,31.724907921704,"Cluster 5","Fatty acid metabolism","Metabolism","Global and overview maps","Fatty acid metabolism",570035.333333333,561729.333333333,554242,484400,5.75590253788879,5.74370021675167,5.74952787633046,5.68520503103178
-47.6600712036874,33.2060862914626,"Cluster 5","Nucleotide metabolism","Metabolism","Global and overview maps","Nucleotide metabolism",561268,582826.666666667,555518.571428571,456346,5.74917105593653,5.74469936411163,5.76554015942512,5.65929519984758
-43.8849486276938,33.7503658004168,"Cluster 5","Carbon fixation pathways in prokaryotes","Metabolism","Energy metabolism","Carbon fixation pathways in prokaryotes",510113.333333333,499908.666666667,510029.714285714,540142,5.70766752662885,5.70759633030019,5.69889153471099,5.7325087522106
-46.0885845836572,36.0671278984098,"Cluster 5","Aminoacyl-tRNA biosynthesis","Genetic Information Processing","Translation","Aminoacyl-tRNA biosynthesis",526272,545231.333333333,521763.428571429,437834,5.72121108947044,5.71747446763171,5.7365816024302,5.64131047559487
-45.6520773528844,35.0387024502891,"Cluster 5","Alanine, aspartate and glutamate metabolism","Metabolism","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",518712.666666667,525753.333333333,514790.857142857,470138,5.71492769059958,5.71163166871818,5.72078286088285,5.67222627922964
-42.632805114999,34.7009339310972,"Cluster 5","Glyoxylate and dicarboxylate metabolism","Metabolism","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism",502438,487633.333333333,495907.428571429,501138,5.70108334256716,5.69540148972074,5.68809427580664,5.69995820203547
-44.350130319588,37.8210581846823,"Cluster 5","Valine, leucine and isoleucine degradation","Metabolism","Amino acid metabolism","Valine, leucine and isoleucine degradation",519012.666666667,519892,502345.714285714,399706,5.71517879384032,5.70100356600184,5.71591396999784,5.60174175405133
-42.9377178453502,37.4827918320963,"Cluster 5","Pyrimidine metabolism","Metabolism","Nucleotide metabolism","Pyrimidine metabolism",496130.666666667,513499.333333333,491749.142857143,413354,5.69559694769671,5.69174449475723,5.71054072985108,5.61632319528247
-41.0497839461748,35.8258818090764,"Cluster 5","Biofilm formation - Pseudomonas aeruginosa","Cellular Processes","Cellular community - prokaryotes","Biofilm formation - Pseudomonas aeruginosa",470136.666666667,496403.333333333,477338,441746,5.67222504755107,5.67882691895215,5.69583556399216,5.64517360880049
-39.8528856557493,34.0145096078459,"Cluster 5","Methane metabolism","Metabolism","Energy metabolism","Methane metabolism",462542,445427.333333333,461291.428571429,505132,5.66515211284728,5.6639763263693,5.64877783869478,5.7034057416063
-38.1138069546443,32.9650550582343,"Cluster 5","Butanoate metabolism","Metabolism","Carbohydrate metabolism","Butanoate metabolism",446715.333333333,435838,441681.714285714,444112,5.6500318319141,5.64511040302288,5.6393260894416,5.64749348595375
-36.4552785081111,30.6083315449016,"Cluster 5","O-Antigen nucleotide sugar biosynthesis","Metabolism","Glycan biosynthesis and metabolism","O-Antigen nucleotide sugar biosynthesis",437333.333333333,408580,422170,417450,5.64081357337025,5.62548839720342,5.61127816702719,5.62060550573938
-36.8305618084588,32.1325313862037,"Cluster 5","Citrate cycle (TCA cycle)","Metabolism","Carbohydrate metabolism","Citrate cycle (TCA cycle)",428791.333333333,432746,426967.142857143,404158,5.63224701171085,5.6303954724548,5.63623406583002,5.60655225431313
-33.9111030828583,33.5419706855175,"Cluster 5","Homologous recombination","Genetic Information Processing","Replication and repair","Homologous recombination",423020.666666667,458086,421909.714285714,310048,5.62636261199158,5.62522055428939,5.66094796715619,5.49143033495669
-34.0469217407551,31.7882334136325,"Cluster 5","Bacterial secretion system","Environmental Information Processing","Membrane transport","Bacterial secretion system",420402,446514.666666667,419336.571428571,334606,5.62366580649702,5.62256377567117,5.6498367013601,5.52453502218996
-34.4774201836357,30.6408255026609,"Cluster 5","Porphyrin metabolism","Metabolism","Metabolism of cofactors and vitamins","Porphyrin metabolism",403257.333333333,401165.333333333,403561.714285714,411664,5.60558335084907,5.6059110343538,5.60332447903168,5.61454394459521
-32.7237546291205,33.9260294451096,"Cluster 5","Propanoate metabolism","Metabolism","Carbohydrate metabolism","Propanoate metabolism",405176,428072.666666667,403825.142857143,327030,5.6076447845249,5.6061944308312,5.63151851264368,5.51458892235698
-30.0706001373524,33.0393081955142,"Cluster 5","Peptidoglycan biosynthesis","Metabolism","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis",388442.666666667,399694,381143.142857143,303592,5.5893280449394,5.58108925023915,5.60172871547053,5.48229175373062
-29.0935235014491,32.1142936284141,"Cluster 5","Ribosome","Genetic Information Processing","Translation","Ribosome",364550,384940,365525.428571429,310208,5.56175829388637,5.56291878312093,5.58539417018907,5.49165439371497
-29.8963397405306,34.676053335799,"Cluster 5","Cationic antimicrobial peptide (CAMP) resistance","Human Diseases","Drug resistance: antimicrobial","Cationic antimicrobial peptide (CAMP) resistance",374656,410287.333333333,375549.714285714,274018,5.57363385126209,5.57466859233154,5.61308916785409,5.43778067708708
-27.5893700132587,31.2436057568229,"Cluster 5","Fatty acid biosynthesis","Metabolism","Lipid metabolism","Fatty acid biosynthesis",359110.666666667,353210,347519.428571429,295674,5.55522951452917,5.54098033915656,5.5480342202875,5.47081460548303
-26.5782389715133,31.7418712410004,"Cluster 5","Fatty acid degradation","Metabolism","Lipid metabolism","Fatty acid degradation",355327.333333333,341574.666666667,346713.714285714,336290,5.55062983884231,5.53997227314612,5.53348692463757,5.52671524464845
-28.6858729968593,36.5227502817464,"Cluster 5","Mismatch repair","Genetic Information Processing","Replication and repair","Mismatch repair",356398,374298,353394,281670,5.55193647680398,5.54826040060999,5.57321866682839,5.4497421356322
-28.2913559711774,38.9866728847208,"Cluster 5","beta-Lactam resistance","Human Diseases","Drug resistance: antimicrobial","beta-Lactam resistance",346992.666666667,383189.333333333,349165.428571429,253612,5.54032154811416,5.54303248077504,5.58341454468379,5.40417151136885
-26.9711118571489,34.4015779402172,"Cluster 5","Arginine and proline metabolism","Metabolism","Amino acid metabolism","Arginine and proline metabolism",349812,346144,343231.142857143,314750,5.5438359450036,5.53558795170532,5.53925806268993,5.49796711858543
-26.4438837402448,43.3835166238962,"Cluster 5","Phenylalanine, tyrosine and tryptophan biosynthesis","Metabolism","Amino acid metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis",333018.666666667,346407.333333333,329210,266192,5.5224698817724,5.51747433796031,5.53958833102761,5.42519663077297
-27.0947418723283,41.6991238267859,"Cluster 5","Glycerophospholipid metabolism","Metabolism","Lipid metabolism","Glycerophospholipid metabolism",329586.666666667,350204,331112.857142857,278418,5.51797095181505,5.51997735639311,5.54432234236681,5.44469886927759
-22.9730669501719,24.5028942656162,"Cluster 5","Biofilm formation - Vibrio cholerae","Cellular Processes","Cellular community - prokaryotes","Biofilm formation - Vibrio cholerae",299571.333333333,337089.333333333,315200,296418,5.4765017020999,5.49858758665316,5.5277462985305,5.47190603780491
-21.9649851994362,28.9740880168972,"Cluster 5","Sulfur metabolism","Metabolism","Energy metabolism","Sulfur metabolism",309684.666666667,320038,312987.142857143,301742,5.4909211051578,5.49552788518462,5.50520290473475,5.4796372038841
-23.0128554492188,30.8032171477568,"Cluster 5","Pentose phosphate pathway","Metabolism","Carbohydrate metabolism","Pentose phosphate pathway",307464.666666667,311170,311101.714285714,321808,5.48779662707179,5.49290380022528,5.49299911554503,5.50759818580304
-22.7167766889028,42.4844970627361,"Cluster 5","DNA replication","Genetic Information Processing","Replication and repair","DNA replication",306132,320103.333333333,303363.142857143,244836,5.48591014745236,5.48196424659056,5.50529155333819,5.38887704942776
-20.2195383473955,43.3079687331062,"Cluster 5","Tryptophan metabolism","Metabolism","Amino acid metabolism","Tryptophan metabolism",318620,321739.333333333,306073.428571429,221436,5.50327439633505,5.48582704735551,5.50750550742395,5.34525018905073
-22.1047450342795,26.3818917094559,"Cluster 5","Nitrogen metabolism","Metabolism","Energy metabolism","Nitrogen metabolism",294510.666666667,305272.666666667,301306.571428571,309796,5.46910250343075,5.47901004501001,5.48468934306511,5.49107720783973
-24.2043381671374,27.5928334897665,"Cluster 5","Folate biosynthesis","Metabolism","Metabolism of cofactors and vitamins","Folate biosynthesis",296192,318016.666666667,301688.571428571,269194,5.47157479052112,5.47956029807919,5.50245124678547,5.4300669890862
-21.0418077617171,43.429088778287,"Cluster 5","Lipoic acid metabolism","Metabolism","Metabolism of cofactors and vitamins","Lipoic acid metabolism",302482.666666667,310306,294591.428571429,223774,5.48070192884618,5.46922158068752,5.49179157264212,5.3498115658004
-22.6387764613849,40.8142516850276,"Cluster 5","Nicotinate and nicotinamide metabolism","Metabolism","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",304358,308370,297836.285714286,246670,5.48338614851566,5.47397906536492,5.48907352913194,5.39211809444195
-20.5466323601516,41.208323714102,"Cluster 5","RNA degradation","Genetic Information Processing","Folding, sorting and degradation","RNA degradation",299802.666666667,300212.666666667,293521.428571429,254604,5.4768369400645,5.46764129206626,5.47743045880272,5.40586692819072
-22.3664410823853,40.1436889349729,"Cluster 5","Histidine metabolism","Metabolism","Amino acid metabolism","Histidine metabolism",298324,302163.333333333,289564,225486,5.47468964929604,5.46174606710568,5.48024320007357,5.35312150855983
-18.8381579041303,36.5362013346733,"Cluster 5","Benzoate degradation","Metabolism","Xenobiotics biodegradation and metabolism","Benzoate degradation",288534.666666667,273042,277017.714285714,254394,5.46019950511432,5.44250910926835,5.43623104701204,5.40550857123051
-19.0639813543142,41.5139467707799,"Cluster 5","Lipopolysaccharide biosynthesis","Metabolism","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",286460,293804,281108.571428571,226968,5.45706550365869,5.44887563304196,5.46805918237981,5.35596654420497
-21.8380089816772,27.5000552226978,"Cluster 5","Glutathione metabolism","Metabolism","Metabolism of other amino acids","Glutathione metabolism",292660.666666667,302212.666666667,290530.571428571,249094,5.46636584151346,5.46319333311946,5.480314100055,5.3963650101772
-19.414764706016,38.8251424568689,"Cluster 5","Phenylalanine metabolism","Metabolism","Amino acid metabolism","Phenylalanine metabolism",292898.666666667,278134.666666667,277529.142857143,229604,5.46671887743472,5.4433101592266,5.44425668409361,5.3609813412554
-18.2112769804679,39.2783881307522,"Cluster 5","Pantothenate and CoA biosynthesis","Metabolism","Metabolism of cofactors and vitamins","Pantothenate and CoA biosynthesis",285805.333333333,280473.333333333,275913.142857143,232556,5.45607184832214,5.44077396219501,5.44789312440957,5.36652941637224
-18.9935020282509,24.6015407746094,"Cluster 5","Cell cycle - Caulobacter","Cellular Processes","Cell growth and death","Cell cycle - Caulobacter",265850.666666667,272693.333333333,272885.428571429,294566,5.42463938732038,5.43598193749071,5.43567611327117,5.46918409172367
-19.9512518936076,37.7870655258448,"Cluster 5","Lysine degradation","Metabolism","Amino acid metabolism","Lysine degradation",284601.333333333,280368,274002.571428571,223110,5.45423845635837,5.4377562235562,5.44772999262839,5.34852098275149
-19.7080804786773,22.184384651393,"Cluster 5","Flagellar assembly","Cellular Processes","Cell motility","Flagellar assembly",260250.666666667,329376.666666667,292356.285714286,277612,5.41539351943836,5.46591392118026,5.51769414865205,5.44343979930469
-17.6086333003792,28.2951529232195,"Cluster 5","Lysine biosynthesis","Metabolism","Amino acid metabolism","Lysine biosynthesis",266465.333333333,278324.666666667,263007.142857143,206680,5.42564234592852,5.41996919466154,5.44455325799669,5.31530055415789
-15.9672636747558,24.1084413658053,"Cluster 5","Carbon fixation in photosynthetic organisms","Metabolism","Energy metabolism","Carbon fixation in photosynthetic organisms",253890.666666667,267042,254655.428571429,219790,5.40464844652132,5.40595464402234,5.42658119829011,5.34200990496481
-13.5707204935277,23.2782525224676,"Cluster 5","Arginine biosynthesis","Metabolism","Amino acid metabolism","Arginine biosynthesis",242883.333333333,245147.333333333,242671.142857143,234606,5.38539950259305,5.38501992508433,5.38942894499563,5.37034096607456
-14.2659666689428,21.6807129831556,"Cluster 5","Biofilm formation - Escherichia coli","Cellular Processes","Cellular community - prokaryotes","Biofilm formation - Escherichia coli",238448.666666667,249142.666666667,240882.857142857,223406,5.37739671966178,5.38180769668291,5.39644985170504,5.34909677671937
-9.33693584082601,24.5960685649641,"Cluster 5","One carbon pool by folate","Metabolism","Metabolism of cofactors and vitamins","One carbon pool by folate",230253.333333333,231118,227226.571428571,206472,5.36220781226757,5.35646102683122,5.36383564974553,5.31486326801341
-8.08542544362934,23.1064593327441,"Cluster 5","Starch and sucrose metabolism","Metabolism","Carbohydrate metabolism","Starch and sucrose metabolism",217018.666666667,208228.666666667,226802.285714286,311874,5.33649909208721,5.35564934191949,5.31854260390547,5.49398056296747
-10.9585554503176,24.8292644669406,"Cluster 5","Biotin metabolism","Metabolism","Metabolism of cofactors and vitamins","Biotin metabolism",228802,236861.333333333,227633.142857143,196442,5.35946171450431,5.35723740246103,5.37449600320439,5.29323655788421
-10.5799984390169,23.2934061204047,"Cluster 5","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism","Metabolism of cofactors and vitamins","Ubiquinone and other terpenoid-quinone biosynthesis",222416,230447.333333333,223243.714285714,204116,5.3471679786116,5.34878118499072,5.36257357153299,5.30987917668439
-11.645488101181,25.7913195195484,"Cluster 5","Protein export","Genetic Information Processing","Folding, sorting and degradation","Protein export",225714.666666667,235576,224480.857142857,187494,5.35356170400798,5.35118124662601,5.37213288687617,5.27298969072313
-10.252903025572,27.0491533181407,"Cluster 5","Terpenoid backbone biosynthesis","Metabolism","Metabolism of terpenoids and polyketides","Terpenoid backbone biosynthesis",222320.666666667,226066.666666667,220169.142857143,196022,5.34698178953318,5.34275842421086,5.35423845180846,5.2923070314945
-9.51656945003676,26.2402345860218,"Cluster 5","Tyrosine metabolism","Metabolism","Amino acid metabolism","Tyrosine metabolism",224571.333333333,222276,219326.857142857,194746,5.35135625138772,5.34109379554021,5.34689452662226,5.28947077626254
-7.00340098327868,26.2916591881909,"Cluster 4","Fructose and mannose metabolism","Metabolism","Carbohydrate metabolism","Fructose and mannose metabolism",215866,203479.333333333,213965.428571429,239722,5.33418625598265,5.33034563769539,5.30852244040373,5.37970970401232
-6.98184728600406,28.6049867583155,"Cluster 4","Selenocompound metabolism","Metabolism","Metabolism of other amino acids","Selenocompound metabolism",214800,205262,209284,204802,5.33203629887794,5.32073810243962,5.31231067200086,5.31133631399277
-6.15759178319446,30.1422410365147,"Cluster 4","Degradation of aromatic compounds","Metabolism","Global and overview maps","Degradation of aromatic compounds",208242,189048.666666667,200344,210536,5.31857041169963,5.30177850823862,5.27657591594899,5.32332843026083
-7.33969455514127,32.7075991823774,"Cluster 4","Base excision repair","Genetic Information Processing","Replication and repair","Base excision repair",199182,204997.333333333,197266.285714286,168326,5.29925226922198,5.29505506897354,5.31175033019195,5.22615378329922
-6.26643032985339,33.8187452412876,"Cluster 4","Nucleotide excision repair","Genetic Information Processing","Replication and repair","Nucleotide excision repair",190112.666666667,193212,189452.857142857,176196,5.27901333803629,5.27750345162108,5.28603634380994,5.24599850966889
-7.27869453168752,34.911445188619,"Cluster 4","Glycerolipid metabolism","Metabolism","Lipid metabolism","Glycerolipid metabolism",196167.333333333,196503.333333333,194271.428571429,181888,5.29262890228678,5.28841116926196,5.29337213192266,5.25980643527155
-6.45678997702405,36.5413048355118,"Cluster 4","Peroxisome","Cellular Processes","Transport and catabolism","Peroxisome",188351.333333333,182629.333333333,184730.571428571,180172,5.27497100466944,5.26654112459827,5.26157291178104,5.25568970989738
-4.32465816202452,36.4935488204033,"Cluster 4","Valine, leucine and isoleucine biosynthesis","Metabolism","Amino acid metabolism","Valine, leucine and isoleucine biosynthesis",181735.333333333,164265.333333333,174204.285714286,181428,5.25944176158838,5.24106132817865,5.21554856315643,5.25870670683297
-3.19922642408746,36.5257068502018,"Cluster 4","Streptomycin biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",173322,160363.333333333,169053.142857143,182316,5.23885619751079,5.22802581809469,5.20510778315673,5.26082716597791
-5.89637762791975,38.5251383880008,"Cluster 4","D-Amino acid metabolism","Metabolism","Metabolism of other amino acids","D-Amino acid metabolism",181042.666666667,180802.666666667,176634,150902,5.25778333677618,5.24707676266627,5.25720723364462,5.17869787377489
-4.47070010142889,39.9720487742928,"Cluster 4","Drug metabolism - other enzymes","Metabolism","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",177489.333333333,183573.333333333,176103.428571429,149536,5.24917470502879,5.24577027748886,5.26381195970333,5.17474866361496
0.168405972919955,35.9436341609866,"Cluster 4","Exopolysaccharide biosynthesis","Metabolism","Glycan biosynthesis and metabolism","Exopolysaccharide biosynthesis",153063.333333333,131992.666666667,145536.285714286,163586,5.18487400427708,5.16297427102311,5.12055309334444,5.2137487880114
-2.63611397744724,47.7362055287342,"Cluster 4","PPAR signaling pathway","Organismal Systems","Endocrine system","PPAR signaling pathway",154023.333333333,141772.666666667,149810.285714286,161284,5.18758933770384,5.17554453124608,5.15159557158468,5.20759397854737
-0.928930378162764,45.0540975975282,"Cluster 4","Thiamine metabolism","Metabolism","Metabolism of cofactors and vitamins","Thiamine metabolism",158225.333333333,184512.666666667,164553.714285714,123662,5.19927876405187,5.21631032879961,5.26602853926528,5.09223977804869
-2.10831310822279,46.5625688205417,"Cluster 4","Galactose metabolism","Metabolism","Carbohydrate metabolism","Galactose metabolism",146240.666666667,140705.333333333,148238.571428571,176832,5.16507112792485,5.17096415073559,5.14831364590536,5.24756331486569
-0.631960584262476,48.3960383993922,"Cluster 4","Longevity regulating pathway - multiple species","Organismal Systems","Aging","Longevity regulating pathway - multiple species",145287.333333333,137496.666666667,141630.285714286,143060,5.16223074181088,5.15115919764958,5.138295328258,5.15552125644841
-1.35055788004908,51.1616788000106,"Cluster 4","Thermogenesis","Organismal Systems","Environmental adaptation","Thermogenesis",149364.666666667,148034,147522,140458,5.17425078161068,5.16885973553031,5.17036440802885,5.14754957212506
1.01032229248726,47.3225736130257,"Cluster 4","Sulfur relay system","Genetic Information Processing","Folding, sorting and degradation","Sulfur relay system",142704.666666667,156839.333333333,150744.857142857,156582,5.15444121875727,5.17824538552383,5.1954577566368,5.19474460952934
1.35371158832623,51.1007768076421,"Cluster 4","Photosynthesis","Metabolism","Energy metabolism","Photosynthesis",146128,151074.666666667,145747.714285714,128626,5.1647364123078,5.16360473234301,5.17919451937931,5.10933214059623
1.35523357039046,50.0700350558543,"Cluster 4","beta-Alanine metabolism","Metabolism","Metabolism of other amino acids","beta-Alanine metabolism",145631.333333333,145481.333333333,142722,125716,5.16325780787061,5.15449396588401,5.16281025791515,5.09939400884736
0.134526885753397,50.4054267436782,"Cluster 4","Diabetic cardiomyopathy","Human Diseases","Cardiovascular disease","Diabetic cardiomyopathy",148642.666666667,152681.333333333,145042.571428571,111326,5.17214640973797,5.16149848491416,5.18378878833527,5.04660050601446
2.73565031479039,48.3979863949702,"Cluster 4","Vancomycin resistance","Human Diseases","Drug resistance: antimicrobial","Vancomycin resistance",137774,138002.666666667,133360.571428571,106194,5.13917041969751,5.12503070423699,5.1398906254733,5.0261040692546
3.42636906013887,39.8876978423677,"Cluster 4","Bacterial chemotaxis","Cellular Processes","Cell motility","Bacterial chemotaxis",116055.333333333,126447.333333333,133602.571428571,207710,5.06466884540949,5.12581806765292,5.10191310945024,5.31745949659673
3.4610074870646,50.1634162263143,"Cluster 4","Chemical carcinogenesis - reactive oxygen species","Human Diseases","Cancer: overview","Chemical carcinogenesis - reactive oxygen species",137628,139954,135638.571428571,116724,5.13870995434263,5.13238640889652,5.14598841858368,5.06716388260284
6.26209363738178,29.5612590256486,"Cluster 4","Polyketide sugar unit biosynthesis","Metabolism","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",123170.666666667,107137.333333333,116302.571428571,123194,5.09051081801119,5.06559305116788,5.0299448861122,5.090593081883
5.89810808938401,27.9123380952718,"Cluster 4","Lysosome","Cellular Processes","Transport and catabolism","Lysosome",125554,108058,117641.714285714,122656,5.09883401238284,5.07056503611478,5.03366094417216,5.08869233831186
6.03282836250356,40.4341365464681,"Cluster 4","Riboflavin metabolism","Metabolism","Metabolism of cofactors and vitamins","Riboflavin metabolism",119218,128900.666666667,120399.142857143,98438,5.07634547467931,5.08062700222108,5.11025853270994,4.99316719323995
6.9479962136929,42.0553467714193,"Cluster 4","Longevity regulating pathway - worm","Organismal Systems","Aging","Longevity regulating pathway - worm",116881.333333333,120909.333333333,118315.428571429,114836,5.06774887287556,5.07304505183459,5.08246341846106,5.06008183847038
7.45071021941113,39.6507253077351,"Cluster 4","Prodigiosin biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Prodigiosin biosynthesis",120914.666666667,114514,115706.285714286,103658,5.08248257469105,5.06336070593439,5.05886237742313,5.01560701487804
8.93278278118137,38.7130439450871,"Cluster 4","Plant-pathogen interaction","Organismal Systems","Environmental adaptation","Plant-pathogen interaction",113060,120978,112813.714285714,87582,5.0533128223815,5.05236574784175,5.08270999035255,4.94241981709648
9.0760755339671,41.1034977950343,"Cluster 4","Monobactam biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Monobactam biosynthesis",113184.666666667,115718,110999.714285714,90290,5.05379143319763,5.04532577346545,5.06340467198287,4.95564446299199
10.0732827911965,39.5832950800478,"Cluster 4","Cyanoamino acid metabolism","Metabolism","Metabolism of other amino acids","Cyanoamino acid metabolism",111157.333333333,120320.666666667,111792.285714286,88112,5.04594202650437,5.04841572068099,5.0803438390315,4.94503998800067
11.867688846562,40.7755456727282,"Cluster 4","HIF-1 signaling pathway","Environmental Information Processing","Signal transduction","HIF-1 signaling pathway",107778,109389.333333333,104812.285714286,82184,5.03253414978797,5.02041633557425,5.03897894571332,4.91479255949039
11.7974624020002,39.2804142202527,"Cluster 4","Central carbon metabolism in cancer","Human Diseases","Cancer: overview","Central carbon metabolism in cancer",107552,109456.666666667,105046.857142857,84302,5.03162252876602,5.02138719771746,5.03924618595346,4.92584302966938
14.2499176274735,33.4076833693509,"Cluster 4","Meiosis - yeast","Cellular Processes","Cell growth and death","Meiosis - yeast",95688,83408.6666666667,92130.2857142857,107622,4.98086201600176,4.96440713188913,4.92121638561029,5.0319050938737
12.1166965778314,33.6752888918,"Cluster 4","Pentose and glucuronate interconversions","Metabolism","Carbohydrate metabolism","Pentose and glucuronate interconversions",99694,94716,101406.571428571,126616,4.99867337770121,5.00607038208697,4.97642793405707,5.10249201935067
14.2521187100778,40.633617908712,"Cluster 4","Ascorbate and aldarate metabolism","Metabolism","Carbohydrate metabolism","Ascorbate and aldarate metabolism",103011.333333333,99534,100235.714285714,94014,5.01288922449111,5.00102682224217,4.99797582078666,4.97319715038179
14.1760238488496,35.6220226265851,"Cluster 4","C5-Branched dibasic acid metabolism","Metabolism","Carbohydrate metabolism","C5-Branched dibasic acid metabolism",97348,92488,97085.1428571429,110088,4.98833149466743,4.98715724731131,4.96609008383768,5.04174392680134
15.7628903919973,37.3093182223209,"Cluster 4","Teichoic acid biosynthesis","Metabolism","Glycan biosynthesis and metabolism","Teichoic acid biosynthesis",97511.3333333333,88708,93442.5714285714,95440,4.98905954862022,4.97054942889161,4.94796768355274,4.97973498108356
