pathway	pathway_description	D3	D2	D1	I3	I2	I1
map00730	Thiamine metabolism	131479057.934	186776490.93	167290675.39000002	556340597.81	186986296.07	261313793.51999998
map00760	Nicotinate and nicotinamide metabolism	308342138.764	388083816.90999997	324395939.96000004	690445447.0899999	286862013.05	355479724.06
map00770	Pantothenate and CoA biosynthesis	133247269.58399999	226640991.03999996	111017875.42999999	545151128.15	179167873.79000002	254746773.01999998
map00780	Biotin metabolism	12301136.46	13231989.02	24453475.87	17346870.58	13053024.3	16556836.47
map00785	Lipoic acid metabolism	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00790	Folate biosynthesis	10511247.82	22405309.76	9250871.318	10144195.4	12663008.37	19024140.04
map00860	Porphyrin metabolism	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map00900	Terpenoid backbone biosynthesis	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00904	Diterpenoid biosynthesis	5159035.566	7757959.356	7099695.716	2858272.028	7422131.07	3084482.073
map00907	Pinene, camphor and geraniol degradation	16616908.97	16014843.89	3259752.584	10093589.04	15626163.49	14867756.74
map00908	Zeatin biosynthesis	320339382.12	212094489.36	437822401.12	190485916.74	166816597.42000002	227005177.03
map00910	Nitrogen metabolism	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map00920	Sulfur metabolism	34519152.213	197477978.10699996	36478883.725999996	102803093.698	83942340.158	88586505.97900002
map00930	Caprolactam degradation	46443127.46	34581595.6	29553560.23	32509636.9	64773794.15	34386977.44
map00940	Phenylpropanoid biosynthesis	5159035.566	7757959.356	7099695.716	2858272.028	7422131.07	3084482.073
map00946	Degradation of flavonoids	12322217.99	6612857.76	6700603.306	9565890.079	8536027.546	8500816.704
map00950	Isoquinoline alkaloid biosynthesis	19187325.88	46337853.72	47055028.65	30738797.96	40341734.64	48204373.13
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	155380227.286	179740091.01600003	156351334.0	130003558.65799999	94770113.549	95251132.543
map00966	Glucosinolate biosynthesis	22290085.966	28136937.796	25284911.456	20460809.008	21465965.4	20222891.803
map00970	Aminoacyl-tRNA biosynthesis	185014535.13273	276611820.176	284654544.2260001	300394793.30799997	210074120.16000003	200230352.93300003
map00980	Metabolism of xenobiotics by cytochrome P450	114169257.4	138505088.4	116319963.9	89933570.6	65753086.06	55145612.1
map00983	Drug metabolism - other enzymes	124027955.48	175774012.67	155112812.61	96715515.11	121076095.25	110487628.82
map00984	Steroid degradation	7451102.454	11002478.26	12177862.78	459625082.7	65910200.82	150826164.7
map00996	Biosynthesis of various alkaloids	5159035.566	7757959.356	7099695.716	2858272.028	7422131.07	3084482.073
map00997	Biosynthesis of various other secondary metabolites	100598194.96149999	121391338.606	144408997.852	576710464.757	170231139.15600002	254178440.577
map00998	Biosynthesis of various antibiotics	343861249.73550004	284813405.72999996	530309528.866	700319725.0489999	273952526.786	428765474.334
map00999	Biosynthesis of various plant secondary metabolites	80175076.986	77173054.69600001	54585599.692	56595440.787	50080789.536000006	50605617.21699999
map01053	Biosynthesis of siderophore group nonribosomal peptides	27421093.38	37182667.45	35338587.31	27732868.68	24745088.73	30747951.7
map01060	Biosynthesis of plant secondary metabolites	306474199.80463	442238535.6109999	419592929.79300004	880965627.0199999	473962644.202	526721418.14800006
map01061	Biosynthesis of phenylpropanoids	150297036.25790003	227914500.42099997	207662015.63099998	599624797.8599999	294777699.212	358552384.028
map01062	Biosynthesis of terpenoids and steroids	81589575.94189999	142019565.755	128932780.691	528516853.102	214113345.002	274671162.745
map01063	Biosynthesis of alkaloids derived from shikimate pathway	89319028.41789998	180100534.941	179827752.473	552020334.05	246251047.22199997	311092261.208
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	259966798.88940004	368285812.85099995	367523523.773	715876326.6399997	360025178.36200005	409800477.278
map01065	Biosynthesis of alkaloids derived from histidine and purine	206362809.65190002	277648229.3249999	231912509.48700002	729648316.0019999	324930957.56200004	371122930.485
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	64972666.97189999	126004721.86500001	125673028.107	518423264.062	198487181.512	259803406.005
map01070	Biosynthesis of plant hormones	192441681.2879	224247392.66099998	193926723.01299998	612124328.6099999	282651997.922	334685031.24799997
map01100	Metabolic pathways	3618747394.119542	5674271875.940428	3689051754.221719	5559371542.405028	3810374983.034681	4308973484.4584
map01110	Biosynthesis of secondary metabolites	993493466.1697301	1131451377.0350003	1264467131.961	1433144285.1890004	955145957.0519999	1052262738.5415998
map01120	Microbial metabolism in diverse environments	481154848.0587	821094775.2176402	552069660.62177	1003425144.3639998	652485596.3183999	682411803.77467
map01200	Carbon metabolism	149780427.4295	282841049.91999996	224601236.745	623251159.2389998	291371841.236	349582011.856
map01210	2-Oxocarboxylic acid metabolism	182404444.3594	262755024.33099997	282182276.66300005	658611220.36	309885395.842	372223321.4836001
map01212	Fatty acid metabolism	7320350.316	18495673.33	37212053.57	46238487.19	70811295.88	95226229.18
map01220	Degradation of aromatic compounds	19681678.41536	46507297.13954	31099422.316269998	494224216.28339994	88809789.8089	180825945.38507
map01230	Biosynthesis of amino acids	415564883.89672995	575634151.6859999	514478434.54999995	968107875.2369999	517076488.79599994	597498705.2125999
map01232	Nucleotide metabolism	490107945.07	888283981.2400001	676410047.2299999	279901232.51000005	258723839.26999998	319038049.0
map01240	Biosynthesis of cofactors	617871321.3255	671653733.5200001	869765915.0909998	940180440.6289998	621237982.676	746777520.904
map01250	Biosynthesis of nucleotide sugars	38120236.783	65830975.215	20585522.777999997	39359949.17	35977135.35	35048089.26
map01320	Sulfur cycle	1313518.977	3780313.059	3033526.448	2956395.418	3938919.001	3022896.164
map01502	Vancomycin resistance	30563329.417	41441917.33499999	33540373.643	497494962.75	97124281.97	179714122.05
map01523	Antifolate resistance	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map02010	ABC transporters	15996221344.80286	14962807934.65354	14390615039.607271	20897710066.2124	19543187671.7229	20811985019.821674
map02020	Two-component system	15387627693.3155	14096421927.68	13558556914.576	19477186506.829	18843390437.516	20219962511.733997
map02024	Quorum sensing	15277068577.0	13958837870.0	13410362501.0	18892948316.0	18668889365.0	19954677438.0
map02030	Bacterial chemotaxis	62693823.43	62802237.58	40785300.67	44171278.68	34122630.92	39020318.44
map02060	Phosphotransferase system (PTS)	25406037.355100002	57280839.754	27554756.435999997	474348485.129	81118094.72299999	164550454.57059997
map03070	Bacterial secretion system	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map04020	Calcium signaling pathway	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map04022	cGMP-PKG signaling pathway	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map04024	cAMP signaling pathway	110689166.03999999	55205945.93	38802937.96	166193688.64	61783294.57	60346114.16
map04066	HIF-1 signaling pathway	268174329.254	195414493.76	429631565.38	603439485.6	190106743.82	345054517.0
map04068	FoxO signaling pathway	60287034.3815	47666290.489999995	73560758.03	89814584.53	83807178.92	68966646.92
map04072	Phospholipase D signaling pathway	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04080	Neuroactive ligand-receptor interaction	453109865.5725	363429648.79800004	598368003.197	486031995.8600001	332812771.907	417881291.825
map04082	Neuroactive ligand signaling	766936791.2815	864598868.0	1094192700.0500002	1912258199.39	737987005.65	855883471.5200001
map04111	Cell cycle - yeast	15277068577.0	13958837870.0	13410362501.0	18892948316.0	18668889365.0	19954677438.0
map04142	Lysosome	276660750.2	196183301.84	426385331.697	155452750.06	134811482.79	206234513.78
map04148	Efferocytosis	384751182.28000003	360186028.17	572566515.21	240529918.01000002	245272638.25	304715981.12
map04150	mTOR signaling pathway	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map04151	PI3K-Akt signaling pathway	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map04152	AMPK signaling pathway	191095213.254	214458964.79000002	187659373.91000003	603012111.65	229606350.49	294090618.25
map04211	Longevity regulating pathway	183644110.8	203456486.52999997	175481511.13000003	143387028.95	163696149.67000002	143264453.54999998
map04212	Longevity regulating pathway - worm	124027955.48	175774012.67	155112812.61	96715515.11	121076095.25	110487628.82
map04216	Ferroptosis	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04217	Necroptosis	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map04382	Cornified envelope formation	1578911827.4531999	2618769051.2	1180457694.86	1967338761.1999998	1606643909.23	2015408597.75
map04540	Gap junction	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04611	Platelet activation	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map04621	NOD-like receptor signaling pathway	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map04713	Circadian entrainment	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04714	Thermogenesis	726963002.0	537818341.1	892256213.7	284021073.88	308606634.42	323696012.8
map04720	Long-term potentiation	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04721	Synaptic vesicle cycle	312467116.58150005	231919304.2	489080001.55	306479648.39	184546907.65	257987463.92000002
map04723	Retrograde endocannabinoid signaling	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04724	Glutamatergic synapse	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04725	Cholinergic synapse	505542685.41999996	660203035.87	623546937.94	1725300725.8	572603338.15	625465297.03
map04727	GABAergic synapse	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04730	Long-term depression	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map04740	Olfactory transduction	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map04742	Taste transduction	413360743.7226	328645120.234	565624606.214	403971208.7490001	272977790.98	341257726.59599996
map04750	Inflammatory mediator regulation of TRP channels	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map04810	Regulation of actin cytoskeleton	51073010.72	27523472.07	18434239.44	119522174.8	19163240.15	27569289.43
map04911	Insulin secretion	319247339.974	222937965.82999998	448065804.82	722961660.4	209269983.97	372623806.43
map04917	Prolactin signaling pathway	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map04922	Glucagon signaling pathway	64503184.133999996	120484727.46000001	117615812.116	513143318.889	194415851.78599998	254839899.774
map04923	Regulation of lipolysis in adipocytes	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map04924	Renin secretion	320339382.12	212094489.36	437822401.12	190485916.74	166816597.42000002	227005177.03
map04925	Aldosterone synthesis and secretion	183644110.8	203456486.52999997	175481511.13000003	143387028.95	163696149.67000002	143264453.54999998
map04927	Cortisol synthesis and secretion	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map04928	Parathyroid hormone synthesis, secretion and action	15336684732.32	13986520343.86	13430731199.52	18939619829.84	18711509419.42	19987454262.73
map04930	Type II diabetes mellitus	268174329.254	195414493.76	429631565.38	603439485.6	190106743.82	345054517.0
map04931	Insulin resistance	21853281.684	48980925.02499999	67337342.98300001	500137739.16999996	84733244.789	165985172.645
map04934	Cushing syndrome	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map04936	Alcoholic liver disease	124027955.48	175774012.67	155112812.61	96715515.11	121076095.25	110487628.82
map04964	Proximal tubule bicarbonate reclamation	12993097.0515	26596674.39	59892662.816	52708960.768999994	49723152.046000004	44690638.893999994
map04970	Salivary secretion	51073010.72	27523472.07	18434239.44	119522174.8	19163240.15	27569289.43
map04971	Gastric acid secretion	51073010.72	27523472.07	18434239.44	119522174.8	19163240.15	27569289.43
map04972	Pancreatic secretion	51073010.72	27523472.07	18434239.44	119522174.8	19163240.15	27569289.43
map04973	Carbohydrate digestion and absorption	188185.6711	4022676.114	3602070.614	1172399.989	3104668.24	1259696.136
map04974	Protein digestion and absorption	204201861.01273	322949673.89599997	331709572.876	331133591.26799995	250415854.8	248434726.06300002
map04976	Bile secretion	857613203.22	875104273.07	982029485.1400001	1775573826.18	691260343.5099999	699787345.4300001
map04977	Vitamin digestion and absorption	124027955.48	175774012.67	155112812.61	96715515.11	121076095.25	110487628.82
map04978	Mineral absorption	15304643285.82123	14015470613.346	13490715426.315998	18924128351.258003	18706776983.809998	19984598114.083004
map04981	Folate transport and metabolism	505542685.41999996	660203035.87	623546937.94	1725300725.8	572603338.15	625465297.03
map05012	Parkinson disease	15597407959.119999	14170932359.36	13848184902.12	19083434232.74	18835705962.42	20181682615.03
map05014	Amyotrophic lateral sclerosis	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map05016	Huntington disease	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map05017	Spinocerebellar ataxia	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map05022	Pathways of neurodegeneration - multiple diseases	15649151848.901499	14218439648.06	13919811201.070002	19246099478.23	18896056327.07	20245441726.649998
map05030	Cocaine addiction	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map05031	Amphetamine addiction	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map05032	Morphine addiction	59616155.32	27682473.86	20368698.52	46671513.84	42620054.42	32776824.73
map05033	Nicotine addiction	165913147.18150002	186012377.1	187946262.85	252598816.08999997	126103450.71000001	118904723.72
map05034	Alcoholism	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map05133	Pertussis	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map05207	Chemical carcinogenesis - receptor activation	114169257.4	138505088.4	116319963.9	89933570.6	65753086.06	55145612.1
map05208	Chemical carcinogenesis - reactive oxygen species	124027955.48	175774012.67	155112812.61	96715515.11	121076095.25	110487628.82
map05215	Prostate cancer	670879.0615	19983816.63	53192059.51	43143070.69	41187124.5	36189822.19
map05230	Central carbon metabolism in cancer	237216582.80673003	383864558.616	377816880.472	796191241.6169997	391436947.646	438513416.237
map05231	Choline metabolism in cancer	3726224299.83	3577335937.77	3489366590.07	5802689962.78	3842278163.0	3528089489.14
map05410	Hypertrophic cardiomyopathy	260723226.8	184412015.5	417453702.6	143814402.9	124196543.0	194228352.3
map05415	Diabetic cardiomyopathy	629688881.2470001	412917171.42499995	792241375.223	669667688.1800002	322016758.39	429778732.64
map07110	Benzoic acid family	10511247.82	22405309.76	9250871.318	10144195.4	12663008.37	19024140.04
