Genus,Dark1,Dark2,Dark3,IR1,IR2,IR3
g__Mesorhizobium,0.000912547,0.000620161,0.00054866,0.000538653,0.00057965,0.000457808
g__Methylohalomonas,0.000415327,0.000372919,0.000639845,0.000848919,0.000435377,0.000677931
g__Muriiphilus,0.020893864,0.019796141,0.021109655,0.017935925,0.019070625,0.015201167
g__Mycobacterium,0.001017491,0.000742952,0.000282115,0.000323721,0.00066139,0.000357995
g__Nitratireductor,0.003774761,0.002546801,0.001718717,0.001801588,0.002541405,0.001682733
g__Nitrosomonas,0.007679184,0.005567022,0.001779443,0.001182678,0.007966684,0.004958937
g__Nitrospira,0.001502352,0.001200564,0.001495964,0.001332216,0.0012531,0.001062708
g__Nocardioides,0.001169946,0.000866138,0.00036614,0.00040983,0.000754215,0.000450608
g__Paracoccus,0.001216944,0.000953163,0.00131333,0.001012424,0.000904822,0.000726314
g__Phaeobacter,0.001811966,0.001439981,0.002205817,0.001364635,0.001330129,0.001144426
g__Phaeodactylibacter,0.001697187,0.002670185,0.000418456,0.000380188,0.002203401,0.000644787
g__Phototrophicus,0.001075779,0.000821322,0.000457211,0.000468945,0.000736511,0.000495258
g__Phycisphaera,0.003485589,0.002547829,0.001457134,0.001442842,0.003831821,0.001707419
g__Polyangium,0.000652284,0.000681497,0.000816835,0.000337646,0.000456858,0.000380472
g__Pseudidiomarina,5.22E-05,0.00012623,0.00320324,0.006154633,0.000157307,0.002340358
g__Pseudoalteromonas,0.000511162,0.000534677,0.001910708,0.00215397,0.000506681,0.001801747
g__Pseudomonas,0.001052643,0.000878074,0.001169412,0.00137574,0.000954402,0.001147702
g__Pukyongia,0.003564447,0.00277041,0.00058643,0.000483169,0.001767699,0.000311174
g__Rhabdothermincola,0.005597247,0.00436883,0.001408947,0.001644746,0.003847657,0.001580214
g__Rhodobacter,0.007162335,0.004909159,0.00194181,0.001322648,0.004052839,0.001953981
g__Rhodohalobacter,0.005881373,0.007063716,0.005819331,0.010704072,0.008942729,0.014174918
g__Rhodopirellula,0.001067183,0.000924787,0.000488919,0.000490387,0.000730501,0.000442608
g__Roseovarius,0.009773352,0.007412566,0.023418627,0.022395965,0.007758416,0.006384441
g__Rubrobacter,0.000808288,0.000609372,0.000314126,0.000338244,0.000506722,0.000333042
g__Ruegeria,0.003000771,0.002483686,0.002956735,0.002332723,0.002272431,0.001877788
g__Salaquimonas,0.001242303,0.000689283,0.000733378,0.000494274,0.000550617,0.000549583
g__Sandaracinus,0.000972546,0.000776545,0.000384627,0.000379504,0.001280224,0.00111993
g__Sedimenticola,0.00069663,0.000489624,0.001183808,0.001529208,0.000558454,0.000689894
g__Shimia,0.002403097,0.00203469,0.001929119,0.001293518,0.001660215,0.001307175
g__Sorangium,0.000653695,0.000742754,0.001060688,0.000394155,0.000394365,0.000335594
g__Sphaerobacter,0.000779892,0.000510253,0.000344546,0.000392574,0.00036456,0.000333727
g__Spirochaeta,0.001569578,0.001549533,0.000728605,0.000861819,0.00086113,0.000725133
g__Streptomyces,0.001561709,0.001152072,0.000417358,0.000476505,0.001033624,0.000586423
g__Stygiobacter,0.001745211,0.001846532,0.001308216,0.001656535,0.001599306,0.000894626
g__Sulfidibacter,0.000535879,0.000593563,0.000362692,0.00035849,0.000451254,0.000358909
g__Sulfitobacter,0.003800805,0.003056462,0.004412316,0.002705266,0.002727258,0.002303938
g__Thalassovita,0.001317953,0.001087653,0.00137561,0.000853276,0.000947783,0.000756906
g__Thermoanaerobaculum,0.000729687,0.000635021,0.00085665,0.001060348,0.000970563,0.000718923
g__Thioalkalivibrio,0.001871879,0.001274902,0.001109557,0.001500804,0.001406062,0.001156541
g__Thiohalobacter,0.00070219,0.00051464,0.000896844,0.0011972,0.000553906,0.000627263
g__Ulvibacter,0.005000044,0.004051833,0.000972004,0.000731715,0.003064369,0.000581661
g__unclassified_c__Candidatus_Binatia,0.002079499,0.001868189,0.000879834,0.001005889,0.001465915,0.001041793
g__unclassified_c__Gammaproteobacteria,0.000647323,0.000491165,0.00075357,0.000896416,0.000687987,0.000827918
g__unclassified_p__Candidatus_Aminicenantes,0.001874829,0.001761285,0.001516345,0.001765795,0.001833034,0.001266869
g__unclassified_p__Candidatus_Bipolaricaulota,0.000695861,0.000516458,0.000300034,0.000326882,0.000476024,0.000363938
g__unclassified_p__Candidatus_Cloacimonadota,0.001225881,0.001106978,0.000573966,0.000650048,0.001020671,0.000635034
g__unclassified_p__Candidatus_Dadabacteria,0.001537462,0.001895261,0.000868621,0.000916961,0.004175672,0.003489242
g__unclassified_p__Candidatus_Eisenbacteria,0.001739651,0.001413028,0.001141038,0.001292109,0.001481589,0.001103472
g__unclassified_p__Candidatus_Hydrogenedentes,0.003067141,0.00289083,0.000869568,0.00107833,0.002098231,0.001101415
g__unclassified_p__Candidatus_Kapabacteria,0.003549351,0.008353162,0.000331098,0.000274089,0.006951942,0.005687842
g__unclassified_p__Candidatus_Latescibacteria,0.002135991,0.001826771,0.001376254,0.001489528,0.001958912,0.001225229
g__unclassified_p__Candidatus_Marinimicrobia,0.00277258,0.002702434,0.001568359,0.001879283,0.002790319,0.00178167
g__unclassified_p__Candidatus_Omnitrophota,0.003266593,0.002143254,0.00099909,0.001054155,0.0018857,0.00112233
g__unclassified_p__Candidatus_Pacebacteria,0.000541567,0.00176093,0.00028901,0.000280667,0.001388277,0.000575375
g__unclassified_p__Candidatus_Poribacteria,0.00142388,0.001164481,0.000754403,0.000809495,0.001169127,0.000743991
g__unclassified_p__Candidatus_Rokubacteria,0.002830227,0.002250553,0.001283402,0.001481882,0.002127955,0.001386226
g__unclassified_p__Candidatus_Tectomicrobia,0.000704798,0.000556058,0.000356783,0.000403253,0.000548871,0.000407673
g__unclassified_p__Cyanobacteriota,0.000756543,0.000594156,0.000353525,0.00036007,0.000499534,0.00032127
g__Vibrio,0.000599726,0.000604273,0.001465582,0.00169267,0.00070362,0.001320395
g__Vicingus,0.005354175,0.025485559,0.000185059,0.013224518,0.028109387,0.031371287
g__Wenzhouxiangella,0.073178688,0.051853618,0.024133594,0.031875286,0.042100695,0.031689242
g__Winogradskyella,0.00427536,0.004563865,0.001140242,0.000606993,0.004962006,0.00138775
g__Woeseia,0.002342414,0.002010029,0.001721937,0.001879112,0.002021242,0.001536327
g__Xanthomarina,0.027789136,0.026241158,0.005667723,0.001575594,0.032105459,0.005769636
Unclassified,0.047457804,0.04325021,0.029228715,0.028594379,0.043886098,0.03421037
