name	contig	type	start	stop	strand	legend
-	IR3_k97_284182	MAG57	19313	19498	+	MAG57_gene0037
pspE	IR3_k97_284182	MAG57	19501	19716	+	MAG57_gene0038
-	IR3_k97_284182	MAG57	19706	20746	+	MAG57_gene0039
trxA	IR3_k97_284182	MAG57	21359	21655	+	MAG57_gene0041
pspE	IR3_k97_284182	MAG57	21657	22082	+	MAG57_gene0042
purF	IR3_k97_284182	MAG57	22201	24099	+	MAG57_gene0043
pdtaS	IR3_k97_284182	MAG57	25961	24198	-	MAG57_gene0044
rph	IR3_k97_205715	MAG57	3919	2	-	MAG57_gene0045
gpmA	IR3_k97_205715	MAG57	4538	4017	-	MAG57_gene0046
folP	IR3_k97_205715	MAG57	5596	4718	-	MAG57_gene0047
-	IR3_k97_205715	MAG57	6242	7717	+	MAG57_gene0049
-	IR3_k97_205715	MAG57	7729	8805	+	MAG57_gene0050
tpiA	IR3_k97_205715	MAG57	8812	9552	+	MAG57_gene0051
btuF	IR3_k97_205715	MAG57	14823	15965	+	MAG57_gene0053
bkdA	IR3_k97_205715	MAG57	16083	18503	+	MAG57_gene0054
rsbU_P	IR3_k97_205715	MAG57	18531	20582	+	MAG57_gene0055
cmk	IR3_k97_205715	MAG57	21819	22505	+	MAG57_gene0057
ilvE	IR3_k97_205715	MAG57	22589	23659	+	MAG57_gene0058
sadA	IR3_k97_252148	MAG57	54	728	+	MAG57_gene0059
phoH2	IR3_k97_252148	MAG57	2190	853	-	MAG57_gene0060
gpmI	IR3_k97_252148	MAG57	2486	4003	+	MAG57_gene0061
bapA	IR3_k97_252148	MAG57	7084	4007	-	MAG57_gene0062
-	IR3_k97_252148	MAG57	7314	8696	+	MAG57_gene0063
wecA	IR3_k97_252148	MAG57	10865	11923	+	MAG57_gene0066
bshA	IR3_k97_252148	MAG57	14505	15638	+	MAG57_gene0070
-	IR3_k97_252148	MAG57	15883	17253	+	MAG57_gene0072
murI	IR3_k97_252148	MAG57	18368	17559	-	MAG57_gene0073
hlpA	IR3_k97_252148	MAG57	18939	18427	-	MAG57_gene0074
hlpA	IR3_k97_252148	MAG57	19527	18982	-	MAG57_gene0075
bamA	IR3_k97_252148	MAG57	21793	19580	-	MAG57_gene0076
yjbB	IR3_k97_26653	MAG57	1072	2745	+	MAG57_gene0078
yggS	IR3_k97_26653	MAG57	3401	2742	-	MAG57_gene0079
-	IR3_k97_26653	MAG57	3572	4348	+	MAG57_gene0080
-	IR3_k97_26653	MAG57	5651	4407	-	MAG57_gene0081
serA	IR3_k97_26653	MAG57	6675	5722	-	MAG57_gene0082
serC	IR3_k97_26653	MAG57	8518	7445	-	MAG57_gene0084
wbbL	IR3_k97_26653	MAG57	10171	8606	-	MAG57_gene0085
recR	IR3_k97_26653	MAG57	10785	10168	-	MAG57_gene0086
-	IR3_k97_26653	MAG57	12070	13518	+	MAG57_gene0088
nrnA	IR3_k97_26653	MAG57	15323	16309	+	MAG57_gene0091
fkpA	IR3_k97_26653	MAG57	16322	16846	+	MAG57_gene0092
fumC	IR3_k97_167288	MAG57	534	1919	+	MAG57_gene0095
pbpC	IR3_k97_167288	MAG57	4809	2434	-	MAG57_gene0097
yfhM	IR3_k97_167288	MAG57	10375	4802	-	MAG57_gene0098
bapA	IR3_k97_167288	MAG57	10786	16092	+	MAG57_gene0099
ctpA	IR3_k97_26345	MAG57	1695	1	-	MAG57_gene0100
-	IR3_k97_26345	MAG57	5201	4431	-	MAG57_gene0103
pal	IR3_k97_26345	MAG57	6455	5217	-	MAG57_gene0104
-	IR3_k97_26345	MAG57	7290	6481	-	MAG57_gene0105
holA	IR3_k97_26345	MAG57	8346	7345	-	MAG57_gene0106
amn	IR3_k97_26345	MAG57	9131	8346	-	MAG57_gene0107
-	IR3_k97_26345	MAG57	9496	9140	-	MAG57_gene0108
dapA	IR3_k97_26345	MAG57	9729	10607	+	MAG57_gene0109
msrA	IR3_k97_26345	MAG57	10634	11254	+	MAG57_gene0110
bapA	IR3_k97_26345	MAG57	11821	13926	+	MAG57_gene0112
-	IR3_k97_276163	MAG57	1308	202	-	MAG57_gene0115
pdxK	IR3_k97_276163	MAG57	1996	1367	-	MAG57_gene0116
tpx	IR3_k97_276163	MAG57	2503	2006	-	MAG57_gene0117
rsbU_P	IR3_k97_276163	MAG57	4753	2567	-	MAG57_gene0118
-	IR3_k97_276163	MAG57	6014	5091	-	MAG57_gene0119
-	IR3_k97_276163	MAG57	7185	6547	-	MAG57_gene0121
butA	IR3_k97_276163	MAG57	8041	7229	-	MAG57_gene0122
-	IR3_k97_276163	MAG57	8614	8309	-	MAG57_gene0123
ribH	IR3_k97_276163	MAG57	9431	8943	-	MAG57_gene0124
-	IR3_k97_276163	MAG57	10188	9502	-	MAG57_gene0125
recF	IR3_k97_276163	MAG57	10289	11392	+	MAG57_gene0126
prlC	IR3_k97_276163	MAG57	13983	12400	-	MAG57_gene0129
cbpA	IR3_k97_11426	MAG57	629	3	-	MAG57_gene0130
tet	IR3_k97_11426	MAG57	1035	2084	+	MAG57_gene0131
yceD	IR3_k97_11426	MAG57	2165	2671	+	MAG57_gene0132
rpmF	IR3_k97_11426	MAG57	2686	2871	+	MAG57_gene0133
fabH	IR3_k97_11426	MAG57	3009	4010	+	MAG57_gene0134
accB	IR3_k97_11426	MAG57	4053	4571	+	MAG57_gene0135
accC	IR3_k97_11426	MAG57	4679	6022	+	MAG57_gene0136
uspG	IR3_k97_11426	MAG57	6117	6953	+	MAG57_gene0137
-	IR3_k97_11426	MAG57	7474	7025	-	MAG57_gene0138
clcA	IR3_k97_11426	MAG57	9336	7564	-	MAG57_gene0139
mscK	IR3_k97_11426	MAG57	10178	9345	-	MAG57_gene0140
proC	IR3_k97_11426	MAG57	10992	10183	-	MAG57_gene0141
pyk	IR3_k97_11426	MAG57	12474	11047	-	MAG57_gene0142
-	IR3_k97_135556	MAG57	1	576	+	MAG57_gene0145
nemA	IR3_k97_135556	MAG57	1076	2155	+	MAG57_gene0147
-	IR3_k97_135556	MAG57	2159	2767	+	MAG57_gene0148
-	IR3_k97_135556	MAG57	2819	4210	+	MAG57_gene0149
-	IR3_k97_135556	MAG57	5233	4211	-	MAG57_gene0150
nagZ	IR3_k97_135556	MAG57	8735	5751	-	MAG57_gene0152
tktA	IR3_k97_135556	MAG57	8927	9769	+	MAG57_gene0153
yfbK	IR3_k97_135556	MAG57	9773	11152	+	MAG57_gene0154
tktA	IR3_k97_135556	MAG57	11154	12104	+	MAG57_gene0155
rpoE	IR3_k97_135556	MAG57	12143	12712	+	MAG57_gene0156
-	IR3_k97_135556	MAG57	13191	13700	+	MAG57_gene0158
rayT	IR3_k97_141985	MAG57	2	364	+	MAG57_gene0160
hsdS	IR3_k97_141985	MAG57	428	1654	+	MAG57_gene0161
-	IR3_k97_141985	MAG57	1866	3410	+	MAG57_gene0162
hsdR	IR3_k97_141985	MAG57	3407	6358	+	MAG57_gene0163
rlhA	IR3_k97_141985	MAG57	8787	6922	-	MAG57_gene0164
topB	IR3_k97_141985	MAG57	11264	8973	-	MAG57_gene0165
-	IR3_k97_141985	MAG57	12536	11373	-	MAG57_gene0166
mepM	IR3_k97_141985	MAG57	13431	12538	-	MAG57_gene0167
uspE	IR3_k97_158589	MAG57	597	1	-	MAG57_gene0169
-	IR3_k97_158589	MAG57	1359	664	-	MAG57_gene0170
phoR	IR3_k97_158589	MAG57	2942	1362	-	MAG57_gene0171
comFC	IR3_k97_158589	MAG57	3806	3132	-	MAG57_gene0172
mscS	IR3_k97_158589	MAG57	4890	5696	+	MAG57_gene0174
rpoE	IR3_k97_158589	MAG57	6818	7390	+	MAG57_gene0176
bapA	IR3_k97_158589	MAG57	7383	8621	+	MAG57_gene0177
fabG	IR3_k97_158589	MAG57	9468	8677	-	MAG57_gene0178
lnt	IR3_k97_158589	MAG57	9875	11464	+	MAG57_gene0179
sadA	IR3_k97_158589	MAG57	11831	13537	+	MAG57_gene0181
gpsA	IR3_k97_15839	MAG57	47	856	+	MAG57_gene0182
-	IR3_k97_15839	MAG57	1118	858	-	MAG57_gene0183
mrp	IR3_k97_15839	MAG57	2281	1157	-	MAG57_gene0184
ybaZ	IR3_k97_15839	MAG57	2735	2388	-	MAG57_gene0185
-	IR3_k97_15839	MAG57	4207	2756	-	MAG57_gene0186
pccB	IR3_k97_15839	MAG57	4301	5842	+	MAG57_gene0187
-	IR3_k97_15839	MAG57	5966	6409	+	MAG57_gene0188
plsC	IR3_k97_15839	MAG57	7120	6425	-	MAG57_gene0189
tyrS	IR3_k97_15839	MAG57	9147	7867	-	MAG57_gene0191
sadA	IR3_k97_15839	MAG57	12575	9267	-	MAG57_gene0192
marC	IR3_k97_15839	MAG57	12731	13297	+	MAG57_gene0193
acrA	IR3_k97_196596	MAG57	274	1308	+	MAG57_gene0195
acrB	IR3_k97_196596	MAG57	1310	4387	+	MAG57_gene0196
tolC	IR3_k97_196596	MAG57	4368	5681	+	MAG57_gene0197
proS	IR3_k97_196596	MAG57	8669	7197	-	MAG57_gene0201
-	IR3_k97_196596	MAG57	10588	12057	+	MAG57_gene0204
mepM	IR3_k97_196596	MAG57	13201	12383	-	MAG57_gene0206
-	IR3_k97_158734	MAG57	2870	1431	-	MAG57_gene0208
rsmD	IR3_k97_158734	MAG57	4550	5101	+	MAG57_gene0211
norM	IR3_k97_158734	MAG57	5130	6461	+	MAG57_gene0212
hspR	IR3_k97_158734	MAG57	6472	6792	+	MAG57_gene0213
-	IR3_k97_158734	MAG57	9235	6857	-	MAG57_gene0214
lytF	IR3_k97_158734	MAG57	11279	9363	-	MAG57_gene0215
guaA	IR3_k97_158734	MAG57	12528	11236	-	MAG57_gene0216
rsbU_P	IR3_k97_141513	MAG57	1	1335	+	MAG57_gene0217
lolC_E	IR3_k97_141513	MAG57	2992	1784	-	MAG57_gene0219
rbfA	IR3_k97_141513	MAG57	3407	3069	-	MAG57_gene0220
hflX	IR3_k97_141513	MAG57	4636	3437	-	MAG57_gene0221
metF	IR3_k97_141513	MAG57	6385	5432	-	MAG57_gene0223
lepA	IR3_k97_141513	MAG57	6557	8350	+	MAG57_gene0224
lytH	IR3_k97_141513	MAG57	8350	9018	+	MAG57_gene0225
-	IR3_k97_141513	MAG57	10196	9168	-	MAG57_gene0226
-	IR3_k97_141513	MAG57	10731	10198	-	MAG57_gene0227
speB	IR3_k97_141513	MAG57	12306	11836	-	MAG57_gene0229
pncC	IR3_k97_165506	MAG57	150	1385	+	MAG57_gene0230
-	IR3_k97_165506	MAG57	2988	2299	-	MAG57_gene0232
-	IR3_k97_165506	MAG57	4037	2988	-	MAG57_gene0233
btuB	IR3_k97_165506	MAG57	5911	4034	-	MAG57_gene0234
-	IR3_k97_165506	MAG57	6921	5947	-	MAG57_gene0235
bapA	IR3_k97_165506	MAG57	8633	6921	-	MAG57_gene0236
hmgL	IR3_k97_165506	MAG57	10724	9873	-	MAG57_gene0239
pyrD	IR3_k97_165506	MAG57	11754	10717	-	MAG57_gene0240
sadA	IR3_k97_51514	MAG57	2126	3	-	MAG57_gene0242
-	IR3_k97_51514	MAG57	4517	2202	-	MAG57_gene0243
sadA	IR3_k97_51514	MAG57	7535	4734	-	MAG57_gene0245
tfoS	IR3_k97_51514	MAG57	9223	7625	-	MAG57_gene0246
adh	IR3_k97_51514	MAG57	9405	10361	+	MAG57_gene0247
bepA	IR3_k97_51514	MAG57	10510	12297	+	MAG57_gene0248
-	IR3_k97_210952	MAG57	793	2	-	MAG57_gene0249
-	IR3_k97_210952	MAG57	922	2142	+	MAG57_gene0250
epsE	IR3_k97_210952	MAG57	3254	2274	-	MAG57_gene0251
xthA	IR3_k97_210952	MAG57	5701	6462	+	MAG57_gene0255
-	IR3_k97_210952	MAG57	9514	6593	-	MAG57_gene0256
ppiB	IR3_k97_210952	MAG57	10109	9672	-	MAG57_gene0257
pyrB	IR3_k97_210952	MAG57	11164	10235	-	MAG57_gene0258
pyrR	IR3_k97_210952	MAG57	11711	11157	-	MAG57_gene0259
acdAB	IR3_k97_157318	MAG57	2	1975	+	MAG57_gene0260
rnpA	IR3_k97_157318	MAG57	2062	2571	+	MAG57_gene0261
recG	IR3_k97_157318	MAG57	2568	5111	+	MAG57_gene0262
gltP	IR3_k97_157318	MAG57	6468	5137	-	MAG57_gene0263
-	IR3_k97_157318	MAG57	8319	7090	-	MAG57_gene0265
miaA	IR3_k97_157318	MAG57	10796	11704	+	MAG57_gene0269
nhaA	IR3_k97_157318	MAG57	11772	11954	+	MAG57_gene0270
-	IR3_k97_126691	MAG57	1767	2240	+	MAG57_gene0273
pyrC	IR3_k97_126691	MAG57	4331	5599	+	MAG57_gene0275
mnmA	IR3_k97_126691	MAG57	7568	6474	-	MAG57_gene0277
-	IR3_k97_126691	MAG57	8340	7588	-	MAG57_gene0278
mshA	IR3_k97_126691	MAG57	9681	8554	-	MAG57_gene0279
arnC	IR3_k97_126691	MAG57	10649	9687	-	MAG57_gene0280
sadA	IR3_k97_126691	MAG57	11597	11914	+	MAG57_gene0282
-	IR3_k97_308501	MAG57	2	166	+	MAG57_gene0283
-	IR3_k97_308501	MAG57	1046	3178	+	MAG57_gene0285
pth	IR3_k97_308501	MAG57	4203	3640	-	MAG57_gene0287
rplY	IR3_k97_308501	MAG57	4838	4212	-	MAG57_gene0288
prsA	IR3_k97_308501	MAG57	5793	4858	-	MAG57_gene0289
sadA	IR3_k97_308501	MAG57	7508	9493	+	MAG57_gene0293
sadA	IR3_k97_308501	MAG57	9499	10740	+	MAG57_gene0294
lnt	IR3_k97_308501	MAG57	11814	10771	-	MAG57_gene0295
hemH	IR3_k97_131900	MAG57	2113	1061	-	MAG57_gene0297
hemJ	IR3_k97_131900	MAG57	2297	2851	+	MAG57_gene0298
ribF	IR3_k97_131900	MAG57	5914	4988	-	MAG57_gene0302
atpD	IR3_k97_131900	MAG57	6100	7602	+	MAG57_gene0303
atpC	IR3_k97_131900	MAG57	7681	7917	+	MAG57_gene0304
mfd	IR3_k97_131900	MAG57	8486	11791	+	MAG57_gene0306
cusS	IR3_k97_57500	MAG57	2	586	+	MAG57_gene0307
-	IR3_k97_57500	MAG57	712	1818	+	MAG57_gene0308
fdhC	IR3_k97_57500	MAG57	3374	4207	+	MAG57_gene0312
mnaT	IR3_k97_57500	MAG57	4299	4790	+	MAG57_gene0313
rhtC	IR3_k97_57500	MAG57	4790	5410	+	MAG57_gene0314
btuE	IR3_k97_57500	MAG57	5420	5962	+	MAG57_gene0315
korB	IR3_k97_57500	MAG57	7090	6071	-	MAG57_gene0316
korA	IR3_k97_57500	MAG57	8931	7093	-	MAG57_gene0317
yesM	IR3_k97_57500	MAG57	9207	11258	+	MAG57_gene0318
-	IR3_k97_57500	MAG57	11269	11370	+	MAG57_gene0319
-	IR3_k97_236850	MAG57	1	201	+	MAG57_gene0320
lpxD	IR3_k97_236850	MAG57	256	1278	+	MAG57_gene0321
fmt	IR3_k97_236850	MAG57	1341	2294	+	MAG57_gene0322
speE	IR3_k97_236850	MAG57	3675	5174	+	MAG57_gene0324
rho	IR3_k97_236850	MAG57	5523	7280	+	MAG57_gene0325
mpl	IR3_k97_236850	MAG57	9411	8053	-	MAG57_gene0327
ahlD	IR3_k97_236850	MAG57	9528	10367	+	MAG57_gene0328
bshC	IR3_k97_39457	MAG57	777	1	-	MAG57_gene0330
rimO	IR3_k97_39457	MAG57	2196	880	-	MAG57_gene0331
sadA	IR3_k97_39457	MAG57	2851	2207	-	MAG57_gene0332
ftsY	IR3_k97_39457	MAG57	3859	2906	-	MAG57_gene0333
rpmG	IR3_k97_39457	MAG57	4267	4085	-	MAG57_gene0335
murB	IR3_k97_39457	MAG57	5345	4335	-	MAG57_gene0336
ispF	IR3_k97_39457	MAG57	5826	5347	-	MAG57_gene0337
-	IR3_k97_39457	MAG57	7037	5832	-	MAG57_gene0338
-	IR3_k97_39457	MAG57	10955	7143	-	MAG57_gene0339
metG	IR3_k97_313212	MAG57	1220	3	-	MAG57_gene0340
ldcA	IR3_k97_313212	MAG57	1319	2221	+	MAG57_gene0341
-	IR3_k97_313212	MAG57	2299	4158	+	MAG57_gene0342
yraN	IR3_k97_313212	MAG57	4162	4521	+	MAG57_gene0343
omp31	IR3_k97_313212	MAG57	5015	4518	-	MAG57_gene0344
-	IR3_k97_313212	MAG57	6023	5133	-	MAG57_gene0345
rhlE	IR3_k97_313212	MAG57	7240	6023	-	MAG57_gene0346
kefF	IR3_k97_313212	MAG57	7790	7263	-	MAG57_gene0347
purK	IR3_k97_313212	MAG57	8018	9175	+	MAG57_gene0348
purE	IR3_k97_313212	MAG57	9172	9687	+	MAG57_gene0349
cutA	IR3_k97_313212	MAG57	9805	10032	+	MAG57_gene0350
deaD	IR3_k97_313212	MAG57	10111	11037	+	MAG57_gene0351
pepN	IR3_k97_235738	MAG57	3857	6196	+	MAG57_gene0360
paaI	IR3_k97_235738	MAG57	6254	6661	+	MAG57_gene0361
wbpY	IR3_k97_235738	MAG57	7788	6658	-	MAG57_gene0362
-	IR3_k97_235738	MAG57	8067	7789	-	MAG57_gene0363
-	IR3_k97_235738	MAG57	8708	8067	-	MAG57_gene0364
pqqL	IR3_k97_235738	MAG57	9937	8708	-	MAG57_gene0365
-	IR3_k97_235738	MAG57	10090	10947	+	MAG57_gene0366
pheT	IR3_k97_132904	MAG57	1	846	+	MAG57_gene0367
-	IR3_k97_132904	MAG57	1589	3409	+	MAG57_gene0369
-	IR3_k97_132904	MAG57	3646	5493	+	MAG57_gene0370
-	IR3_k97_132904	MAG57	5576	7387	+	MAG57_gene0371
rluA	IR3_k97_132904	MAG57	9061	7391	-	MAG57_gene0372
hutU	IR3_k97_132904	MAG57	10948	9113	-	MAG57_gene0373
-	IR3_k97_843	MAG57	93	1	-	MAG57_gene0374
pspC	IR3_k97_843	MAG57	397	173	-	MAG57_gene0375
-	IR3_k97_843	MAG57	2693	1677	-	MAG57_gene0377
pyrF	IR3_k97_843	MAG57	3513	2695	-	MAG57_gene0378
susC	IR3_k97_843	MAG57	5060	3555	-	MAG57_gene0379
prfA	IR3_k97_843	MAG57	6182	5103	-	MAG57_gene0380
purM	IR3_k97_843	MAG57	7358	6186	-	MAG57_gene0381
pal	IR3_k97_843	MAG57	9465	7465	-	MAG57_gene0382
glnA	IR3_k97_843	MAG57	10887	9598	-	MAG57_gene0383
bapA	IR3_k97_122066	MAG57	479	8872	+	MAG57_gene0385
dnaX	IR3_k97_122066	MAG57	9159	8974	-	MAG57_gene0386
dnaX	IR3_k97_122066	MAG57	10703	9588	-	MAG57_gene0387
-	IR3_k97_268216	MAG57	3	329	+	MAG57_gene0388
-	IR3_k97_268216	MAG57	340	1050	+	MAG57_gene0389
hlpA	IR3_k97_268216	MAG57	1689	2324	+	MAG57_gene0391
-	IR3_k97_268216	MAG57	2905	4470	+	MAG57_gene0393
fdhD	IR3_k97_268216	MAG57	5262	4471	-	MAG57_gene0394
yfiC	IR3_k97_268216	MAG57	5966	5265	-	MAG57_gene0395
bapA	IR3_k97_268216	MAG57	7171	6053	-	MAG57_gene0396
rpoE	IR3_k97_268216	MAG57	7714	7172	-	MAG57_gene0397
rsmI	IR3_k97_268216	MAG57	7852	8529	+	MAG57_gene0398
chrA	IR3_k97_268216	MAG57	9628	10752	+	MAG57_gene0400
rpoE	IR3_k97_260925	MAG57	1330	770	-	MAG57_gene0403
bapA	IR3_k97_260925	MAG57	4086	1441	-	MAG57_gene0404
rlmL	IR3_k97_260925	MAG57	4192	5376	+	MAG57_gene0405
-	IR3_k97_260925	MAG57	7807	7457	-	MAG57_gene0406
-	IR3_k97_260925	MAG57	8821	7928	-	MAG57_gene0407
-	IR3_k97_260925	MAG57	10055	8904	-	MAG57_gene0408
-	IR3_k97_139616	MAG57	2580	550	-	MAG57_gene0412
-	IR3_k97_139616	MAG57	3980	2589	-	MAG57_gene0413
-	IR3_k97_139616	MAG57	5590	4679	-	MAG57_gene0416
-	IR3_k97_139616	MAG57	7735	5648	-	MAG57_gene0417
-	IR3_k97_139616	MAG57	8073	8705	+	MAG57_gene0419
rimM	IR3_k97_139616	MAG57	9787	9248	-	MAG57_gene0420
rpsP	IR3_k97_139616	MAG57	10389	9793	-	MAG57_gene0421
lolD	IR3_k97_47341	MAG57	1315	662	-	MAG57_gene0424
-	IR3_k97_47341	MAG57	1637	1464	-	MAG57_gene0425
hipB	IR3_k97_47341	MAG57	2143	1838	-	MAG57_gene0426
-	IR3_k97_47341	MAG57	2513	2127	-	MAG57_gene0427
-	IR3_k97_47341	MAG57	5370	4528	-	MAG57_gene0430
dcm	IR3_k97_47341	MAG57	6416	5367	-	MAG57_gene0431
rghR	IR3_k97_47341	MAG57	6730	6413	-	MAG57_gene0432
-	IR3_k97_47341	MAG57	9050	7797	-	MAG57_gene0434
asnB	IR3_k97_47341	MAG57	10513	9047	-	MAG57_gene0435
comEC	IR3_k97_254256	MAG57	888	1	-	MAG57_gene0436
-	IR3_k97_254256	MAG57	1515	2804	+	MAG57_gene0438
spoIID	IR3_k97_254256	MAG57	3957	2809	-	MAG57_gene0439
lpxB	IR3_k97_254256	MAG57	5155	4046	-	MAG57_gene0440
surE	IR3_k97_254256	MAG57	6213	5455	-	MAG57_gene0442
uspG	IR3_k97_254256	MAG57	6336	7136	+	MAG57_gene0443
fhs	IR3_k97_254256	MAG57	8901	7216	-	MAG57_gene0444
-	IR3_k97_254256	MAG57	9096	10436	+	MAG57_gene0445
rplM	IR3_k97_163117	MAG57	86	541	+	MAG57_gene0446
rpsI	IR3_k97_163117	MAG57	547	933	+	MAG57_gene0447
rpsB	IR3_k97_163117	MAG57	1047	1829	+	MAG57_gene0448
tsf	IR3_k97_163117	MAG57	1858	2694	+	MAG57_gene0449
pyrH	IR3_k97_163117	MAG57	2767	3477	+	MAG57_gene0450
frr	IR3_k97_163117	MAG57	3509	4072	+	MAG57_gene0451
sadA	IR3_k97_163117	MAG57	4644	8213	+	MAG57_gene0452
-	IR3_k97_163117	MAG57	8681	10180	+	MAG57_gene0453
selO	IR3_k97_280736	MAG57	1225	2	-	MAG57_gene0454
-	IR3_k97_280736	MAG57	1605	1225	-	MAG57_gene0455
ptrB	IR3_k97_280736	MAG57	5253	3106	-	MAG57_gene0458
hisIE	IR3_k97_280736	MAG57	5939	5325	-	MAG57_gene0459
hisF	IR3_k97_280736	MAG57	6830	6075	-	MAG57_gene0460
hisA	IR3_k97_280736	MAG57	7604	6834	-	MAG57_gene0461
hisH	IR3_k97_280736	MAG57	8254	7601	-	MAG57_gene0462
hisB	IR3_k97_280736	MAG57	9369	8260	-	MAG57_gene0463
hisC	IR3_k97_280736	MAG57	10331	9366	-	MAG57_gene0464
cysH	IR3_k97_293446	MAG57	639	1	-	MAG57_gene0465
hom	IR3_k97_293446	MAG57	1970	753	-	MAG57_gene0466
metX	IR3_k97_293446	MAG57	3000	1957	-	MAG57_gene0467
metY	IR3_k97_293446	MAG57	4348	3002	-	MAG57_gene0468
mgsC	IR3_k97_293446	MAG57	5019	6563	+	MAG57_gene0469
dnaG	IR3_k97_293446	MAG57	8507	6555	-	MAG57_gene0470
ispB	IR3_k97_293446	MAG57	10034	9057	-	MAG57_gene0472
adoK	IR3_k97_227966	MAG57	526	2	-	MAG57_gene0473
-	IR3_k97_227966	MAG57	2653	2880	+	MAG57_gene0477
-	IR3_k97_227966	MAG57	5278	3281	-	MAG57_gene0478
-	IR3_k97_227966	MAG57	7602	5938	-	MAG57_gene0479
xerD	IR3_k97_227966	MAG57	8969	7755	-	MAG57_gene0480
clpP	IR3_k97_227966	MAG57	9406	10083	+	MAG57_gene0482
ubiD	IR3_k97_32889	MAG57	3130	1322	-	MAG57_gene0486
dnaJ	IR3_k97_32889	MAG57	4366	3245	-	MAG57_gene0487
-	IR3_k97_32889	MAG57	5062	4520	-	MAG57_gene0488
-	IR3_k97_32889	MAG57	5745	5209	-	MAG57_gene0489
murA	IR3_k97_32889	MAG57	7093	5786	-	MAG57_gene0490
uvrD	IR3_k97_32889	MAG57	10094	7797	-	MAG57_gene0492
glcD	IR3_k97_59194	MAG57	1426	23	-	MAG57_gene0493
dapD	IR3_k97_59194	MAG57	2457	1642	-	MAG57_gene0495
pslH	IR3_k97_59194	MAG57	3625	2459	-	MAG57_gene0496
pslH	IR3_k97_59194	MAG57	4816	3632	-	MAG57_gene0497
lptF	IR3_k97_59194	MAG57	6186	4813	-	MAG57_gene0498
paaH	IR3_k97_59194	MAG57	7254	6367	-	MAG57_gene0499
trxB	IR3_k97_59194	MAG57	8247	7297	-	MAG57_gene0500
sadA	IR3_k97_59194	MAG57	10091	8457	-	MAG57_gene0501
mrcA	IR3_k97_4033	MAG57	2	358	+	MAG57_gene0502
scoA	IR3_k97_4033	MAG57	369	1073	+	MAG57_gene0503
scoB	IR3_k97_4033	MAG57	1173	1829	+	MAG57_gene0504
-	IR3_k97_4033	MAG57	2661	2149	-	MAG57_gene0505
dtd	IR3_k97_4033	MAG57	3301	2849	-	MAG57_gene0506
rsgA	IR3_k97_4033	MAG57	4814	3882	-	MAG57_gene0508
gldA	IR3_k97_4033	MAG57	4965	5867	+	MAG57_gene0509
metK	IR3_k97_4033	MAG57	6378	7631	+	MAG57_gene0510
exbB	IR3_k97_4033	MAG57	7811	8656	+	MAG57_gene0511
tolR	IR3_k97_4033	MAG57	9088	9690	+	MAG57_gene0513
-	IR3_k97_4033	MAG57	9690	10064	+	MAG57_gene0514
-	IR3_k97_210311	MAG57	1010	102	-	MAG57_gene0516
-	IR3_k97_210311	MAG57	3136	1136	-	MAG57_gene0517
queE	IR3_k97_210311	MAG57	3744	3091	-	MAG57_gene0518
aroE	IR3_k97_210311	MAG57	5371	6123	+	MAG57_gene0521
cotH	IR3_k97_210311	MAG57	8084	6582	-	MAG57_gene0523
